序号,内容
405,帐
406,根本就是畸形人
407,不好看我还看什么
408,据说这个电影准备参加国外影展
409,你们细品
410,评分和现实差这么多
411,难道你不去想想也许是水军
412,自个毛的来水
413,水军就水军
414,这类型电影不适合院线
415,但线上一定爆款
416,导演可没这么说
417,鼽
418,导演还说要卡通感
419,这
420,个字被吃了
421,鼽
422,白蛇就是欧美风
423,鼽
424,丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑丑
425,自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制自来抵制
426,这个丑的病态的能看的下去
427,更别说背后的意味了
428,我拿几十块买恶心
429,夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活夹带私活
430,导演不拿出真人参照就是在放屁
431,你这有点扯淡啊
432,是个人也不会把主角做成这样的造型
433,额为啥非要去电影院我只想在家躺着
434,我觉得那个胖子挺好的哈哈哈
435,因为他们的设定就是没有特色的普通人呀
436,不然你管蔡徐坤大眼睛叫普通人
437,新华社永远滴神
438,一朝被蛇咬
439,十年怕井绳
440,情理之中
441,但真的别错过
442,不看
443,主角太丑
444,丑得辣眼
445,关键明明都知道什么原因
446,导演就是不改
447,还硬钢水军洗地就离谱
448,只是做到了优秀的地步
449,这话说的
450,呵呵
451,这三个主角整体形象像极了我以前的室友
452,艺术源于现实却高于现实
453,丑爆
454,魔幻到指鹿为马
455,真是
456,是怪胎了吧
457,吉吉国王那种
458,这脸怎么看
459,怎么不顺眼
460,放一两个人物就得了
461,所有角色都这样就过分了
462,为了吉吉国王
463,我必须去看
464,精心烹饪的拜登咖喱
465,没有说到点上
466,哪吒是一个人烟熏妆
467,不是电影里所有人都烟熏妆
468,反观
469,呵呵
470,到现在没看
471,确实是被长相劝退
472,官方牧羊犬
473,能丑但是不能畸形
474,驫
475,您觉得好看
476,我觉得不好看
477,您就说我审美被强
478,那我无话可说
479,反正就不掏钱
480,您也不差这点票房
481,干净又卫生嗷
482,屁股坐歪了就是垃圾电影
483,社会从来不是没有耐心
484,观众的眼睛是雪亮的
485,驫
486,因为后面变成美少年了呗
487,前面说海报好看的
488,一水的狮子头
489,有主角的大脸嘛
490,为啥主角的大脸没出现在海报上呢
491,不是主角
492,是所有人
493,票房才是硬道理
494,洗白那么多有啥用
495,普通人不还是一眼丑拒
496,那么多中上水平的作品
497,为什么要去选你这一部
498,我觉得的确导演有点太自信
499,没想到杠不过颜值啊
500,点错了
501,我看了
502,觉得不好看
503,黑美人鱼
504,你这手法到位了
505,先把高帽给他们戴上去
506,主流
507,西方诋毁亚洲刻板印象
508,我是因为央视的推荐
509,让我不想看
510,就不是好不好看的问题
511,鮹
512,经典美式三人组
513,广东肥胖率在全国算低的
514,还是留守儿童
515,基本人均瘦子
516,因为没有自来水
517,宣发拉满
518,水军拉满
519,还在
520,站上搞了活动
521,剧情本来就不好
522,难看加上难看罢了
523,说剧情好的也是收了米罢了
524,不是不好看
525,是丑
526,是丑化
527,剧情真的不行
528,我是因为票贵没看
529,反正我们这没看见过这种眼睛的小孩
530,自来水
531,最下面这个就是猴子的颅骨啊
532,檯
533,虽然说真实情况每个人都不是美女帅哥
534,但是不是每个人的眼睛都是这样的啊
535,锫
536,国际大奖
537,什么玩意
538,歯
539,剧情也很烂
540,自辱者
541,人恒辱之
542,网络爆火有鸟用
543,不上网的路人才是绝对主力
544,误
545,我是广东人我们真不是眯眯眼
546,巧克力做成了
547,的形状
548,谁还回去吃
549,同意
550,収
551,不不所有人都是咪咪眼就可怕
552,収
553,自来水
554,是要花钱的自来水吧
555,揎
556,主角不好看都算缺点了
557,揎
558,别扯广东
559,直接说在中国采风的
560,我们全中国都长眯眯眼
561,揎
562,广州生活
563,多年
564,没见过这种长相的人
565,鏎
566,你给我倒贴钱我都不会看这个恶意丑化国人形象的电影
567,哪来的
568,那么多好看的电影
569,求推荐
570,它优秀
571,都是靠同行衬托
572,伯
573,写实还不如用真人
574,用啥动画
575,原画很正常
576,改成这样就是故意的
577,我总结下
578,主说的
579,网上的水军都是自来水
580,虽然人物不好看但是剧情很好之类的
581,坚决不提眯眯眼的问题
582,笑死我了
583,绝大多数人都很忙
584,没时间精神积极向上
585,人家肯花钱和时间自然要先看的爽先
586,这不是美丑的问题
587,是固化了西方对中国人的刻板印象
588,呵呵中国人长这样
589,广东人也不是这样好吧
590,痕
591,中国人就是浓眉大眼
592,不按中国人的样子做就不要在中国上映
593,痕
594,给
595,张张记性
596,千万要糊
597,主流审美谁给你的
598,西方
599,因为中国要争夺审美话语权
600,我就是没有一点点想看的欲望
601,太丑了有些厌恶
602,就是因为想站着
603,所以被西方审美下的观众给打趴下了
