序号,内容
529,五条人
530,为什么动不动就要搞宇宙
531,唐氏综合征宇宙是吧
532,阿珍爱上了阿强
533,好看到爆炸
534,真的好好看
535,真的很好看
536,我永远喜欢雄狮少年
537,推荐推荐
538,强烈推荐
539,真心推荐大家去看
540,感人热血
541,我们学校影院根本没几个人看
542,好好看
543,啊啊啊啊啊啊啊啊
544,不看
545,不打分
546,埿
547,特别好看前来推荐
548,全员唐氏
549,超好看
550,腎
551,全员眯眯眼
552,垃圾
553,两个字
554,好看
555,昨天才看了
556,真的超棒
557,传播传统文化和热血正能量
558,题材真的好
559,工业垃圾
560,滚吧
561,原画都是丹凤眼
562,被这总监硬改成唐氏综合征眼
563,揎
564,菆
565,不过还建议看过在喷
566,这样战斗力拉满
567,甎
568,导演
569,这是广东人的典型长相
570,锤头鲨少年
571,知道就好
572,眼睛间距真的不合理
573,翻盘
574,我看是翻车了
575,这不是西方刻板印象吗
576,丢不丢中国人脸哦
577,水军你们可长点眼睛吧
578,这是电影这是应该用看的
579,这个垃圾这么丑怎么看
580,呵呵
581,票房扑街
582,票房扑街
583,眯眯眼坚决抵制
584,导演描述国人是唐氏综合症患者
585,爆个屁
586,扑该仔注定了
587,但凡说正常的
588,我只能说祝你以后孩子无论男女都长这个样
589,唐氏综合征
590,丑
591,呵呵什么东西
592,小丑少年
593,啊对对对
594,唐氏综合征是吧
595,誜
596,海丰话
597,偏漳州音的漳泉滥闽南语
598,海丰话
599,漳泉滥闽南语
600,海丰话
601,闽南语
602,海丰话闽南语
603,被感动到了
604,吊眼角
605,眼距宽
606,噔
607,噔
608,咚
