序号,内容
310,他们在电影里本来就是属于大家会看不顺眼的外貌设定啊
311,不接受可以说丑
312,我也觉得还是没必要说
313,辱
314,终于看到一个理智的了
315,你也不长那样啊
316,麻烦整完容再来当水军
317,这个能让大多数人觉得不适
318,就是它的问题
319,不用洗
320,比如迪士尼画风
321,眼睛就非常大
322,不是正常人的比例
323,是的
324,前面那些
325,我不觉得这几个人是丑呀
326,我觉得啥五官在一个好看的故事里都没有那么吸引我的注意呀
327,说阿猫眯眯眼我认了
328,阿娟那哪里是眯眯眼啊
329,眯眯眼本身没问题
330,问题是人物全都是的话
331,确实
332,徐志胜
333,底层是啥意思
334,中国人能有几个动画里那样的长相眼睛
335,刻意把中国人设计成那样是什么心态装不知道吗
336,蓿
337,我是真觉得少年里的女主好看是我审美不行吗
338,收了多少
339,可能主要是仨人都眼睛小
340,正常人的眼距不会那么宽的
341,那个看起来很正常啊
342,怎么
343,被外国人洗脑了
344,你长这样就以为别人跟你一样
345,我觉得这个动画看了人物不错
346,看够了整容的尖下巴磨皮大眼睛了
347,没有看过以前外国人是怎么设计中国的动画形象吧
348,你看了那个刚才的客观就没有了
349,迪士尼风格都是巨大眼镜
350,三庭五眼
351,这几个角色稍微缩小哪怕一点点眼距也不至于
352,非常好看的电影
353,鏍
354,说到点子上了
355,是为了去外国参展
356,师母就不是
357,趎
358,唐氏综合征眼睛
359,一开始的眼睛是没有神的
360,最后娟的眼神特别帅气
361,同意
362,他们的大眼睛审美其实已经跌入欧美早期的审美规范却不自知
363,对的
364,同意
365,很多动画里的形象都是欧洲人的长相
366,那是真没意思
367,如何解释把这种刻板印象包装成中华文化对外宣传
368,自辱
369,确实
370,无意冒犯
371,但对于
372,主来说
373,照镜子多了确实可能会习惯导演的审美
374,你开始语无伦次了
375,导演说了是写实
376,发你复习
377,遍
378,审美需要多元化
379,夸张化确实是动画常识
380,你觉得那么多形象正常也是因为看习惯了
381,美式风格动画三庭五眼的角色也很少吧
382,是不能接受在西方媒体口中眯眯眼已经是中国特征了
383,还有人乐意迎合着他们
384,我觉得阿娟帅炸了
385,女阿娟就是女神
386,这种气质凸显出来的气场比单纯的外貌好看多了
387,格鲁的介绍在小黄人三里介绍了
388,是德国人
389,薿
390,他说德国人
391,孁
392,关键是他们都是正面形象啊
393,硬洗呗
394,你在偷换概念
395,有谁长迪士尼大眼睛那样呢
396,这里面所有人都长成宽眼距眯眯眼就离谱
397,我觉得反对的人不是说不能眼睛小
398,而是这个小眼睛设计的实在不讨喜
399,很显然
400,这些都是固有印象的夸张化
401,本作亦然
402,反应了他以为的中国人特征
403,还没问题么
404,羁
405,简直就是没脑袋了那个爸爸
406,噟
407,不
408,当时批判白蛇建模迪士尼化
409,没有自己的风格
410,眉毛以上都是空气
411,换个角度
412,我们被西方思想渗透了
413,跟你好像
414,这
415,这个和西方真没关系
416,是人的本性
417,对大眼有保护欲
418,做动画一开始就不会想拿奖而是希望作品被认可
419,我觉得恰恰阿娟是西方人歧视的病猫长相
420,是刻板印象的东亚病夫
421,最后却一跃而成雄狮
422,就两个人物眼睛小
423,其他人物都不一样
424,这就是掉进西方的判定逻辑
425,说的太对了
426,觉得不好看的求求你们去多看几遍
427,某些人
428,只见得涂脂抹粉的偶像形象
429,而见不得生旦净末丑的众生像
430,被资本过度包装的产品投喂的不食人间烟火了
431,感谢你的发声
432,本人眯眯眼
433,要是我去画
434,我也话眯眯眼
435,多花那么多帧双眼皮累死了
436,对剧情又没啥推进作用
437,就是
438,如果是个体丑也没事
439,全丑就有问题了
440,说到重点了
441,不危险
442,有益
443,因为以后这种审美就别出来卖鸡汤了
