冲着国外拿奖去的吧,哪里有审丑的基础呢,等你好耐啦,不要随意加内容,分,没有兵马俑看电影,但当和哪吒重生眼镜的建模一样会被喷,但是那种少年冲动热血,出息了
你周围没有,好看,有点广东腔的味儿了,就是,本来想给零分,我也好早,抵制,我已经很难再,阿娟爱上了阿强
不代表不存在,广东人长这样,画风有个性,额,不过画面不错,开了,就我所知吴京是出了名的烂好人,每天就是上班下班,好看
你的世界不代表全世界,我信你个鬼,针不戳,我就这小眼睛,票房连哪吒零头都没有,我去,这明明是西方的偏见,也就图一乐,这不是大圣归来吗
而且正常的眯眯眼和他们刻意夸张加工后的眯眯眼也完全不是一回事,是对人文地理的采风,看起来不错啊,最大的难点应该一直都是表情吧,划时代的一部中国动漫,好早,怼这部电影干什么,佳片是真的,牛
但,不是人物模型,三个舞狮的少年,这部电影真的超级美,期待更多这样的作品,可这玩意不一定是由,中国人什么时候如此脆弱,做这种狮头玩偶,胔
哈哈哈,看了,哈哈哈哈哈哈,每一帧都是壁纸,真的好看,市场,电影很好看,他们也得不到版权保护的,大快人心
关键是他做的不好看啊,茎,男主,美国人也不长辛普森一家那样啊,一分不给,设计的产品,看过再说吧,收益不会太高,大快人心
不单单小,没看,还挺,英国叫乔治的也不是猪啊,负分,更像是二鬼子表忠心的作品,这视频是明夸暗骂,好红红火火恍恍惚惚,我就看不惯网上民粹的歪风邪气
还小的丑,茎,乖,人物就是刻意的啊,最后还去了上海打工,弔图一堆,雄狮黑实锤,收钱了吧你,动画人太难了
眯眯眼丑的要死,没看,五条人,胖子猪样,爷笑了,谁敢写啊,踩完退出即可,哈哈哈哈哈哈哈哈哈哈哈哈哈,看阿猫抖腿特别喜感
可以有,錎,这质感不错啊,瘦子猴样不是夸张的手法吗,不会,不给,踩完退出,不得不说白蛇,真金不怕火炼
但是不能是全部啊,看了,啊啊啊木棉花细节,真的很美,你会收到三连,怀疑这是泰语,点右上角三个点选我不想看,还是不错的,期待你们下一部作品
一点都不尊重,没看,画风很有个性,哈哈哈哈哈哈哈哈哈哈哈,是我,好耶,主,哈哈哈哈啊这,但希望不是续集
看着恶心人,没看,马冬梅的大叔,完全没注意到这个小雪人,詎,好,电影就是难看,什么叫国际化审美,是新开一个故事
我不讨厌眯眯眼,没看,我要睇粤语配音版,这又啥刻板印象的,这电影有啥好泪目的我服了,分,不是小眼睛,导演如果外国人,回形针跟这个可不一样
我身边就有眼睛小的同学,禤,唱的歌是闽南话,我认为是实景嘞,詎,下刺一腚,是唐氏残疾儿好不好,国内早就骂上天了,现实
但你特么特意化妆把眼睛画小,没看,才发现,说浑身不适的,觉得好看的家里人都和雄狮少年里面主角长得一样好看哦,是么,都没抓住重点,南派狮子,划重点
照片服饰妆容丑话,没看,大圣,也不至于吧,我打零分,都什么垃圾剧情,广东人要感谢你八辈祖宗,排面,现实题材
引起不适,没看,如果是粤语或福建话就完美了,主要说的不是丑而是眼间距宽眯眯眼符合西方对亚裔的偏见吧,坚决不看,就是丑爆了,票房打脸疼不疼,哪吒,燎
