序号,内容
592,辟谣跑断腿
593,甎
594,说电影里全是眯眯眼的
595,估计根本没看过电影
596,锎
597,真实
598,广东人张这样
599,图穷匕见
600,吴京糊涂啊
601,舞狮
602,看看人黄飞鸿
603,那才是标杆电影
604,广东人不长这样喔
605,让他凉
606,这都算国漫之光
607,那国漫没救了
608,好电影个鬼
609,逻辑莫名其妙
610,就是自我感动
611,我一点共情都没有
612,没想到爱国的吴京也逃不过资本的诱惑
613,烕
614,再好内容
615,膈应人我也不会去看
616,都是公关营销
617,我作为一个外地人
618,都替广东人感到非常明显的恶意和一丝愤怒
619,其实阿猫的形象还是可以的
620,很像农村的一些有点邋邋遢遢有点痞气的年轻人
621,払
622,就这个外貌问题
623,这就是烂片
624,看着真的
625,在中国这叫贼眉鼠眼
626,普通人长这样
627,广东人的我表示我
628,你
629,埢
630,拿
631,原来是勾罕见
632,嗯
633,去除网红化
634,反倒偏见化
635,不知道是不是他爹长那样的眯眯眼
636,好吧
637,就是因为有这种人
638,中国的动漫市场就是被他们搞烂了
639,越来越恶心了他们
640,不像周琦
641,罕见
642,就他妈是美国
643,这一套
644,眼间距问题
645,正常人眼间距就没这样的
646,竖立一个标准
647,成功了
648,你以后再骂
649,就是不正确
650,哈哈哈哈哈哈哈
651,活该
652,这里在洗白的人我建议你去了解一下傅满洲的相关内容
653,了解一下眯眯眼的含义是什么
654,双标国度不足为奇
655,你们是唐氏综合征少年
656,哪里好
657,张口就来
658,不要侮辱宫崎骏
659,褺
660,毕竟被惹怒的人不回去看也更不想评论这部玩意
661,我感觉两广的人一般都是眼睛漂亮
662,嘴巴倒是有点突的感觉
663,锁分了
664,吴京也是资本的一枚棋子而已
665,握日
666,这是人类吗
667,联想
668,有没有一种可能
669,洗的人就长那样
670,思考
671,所以为什么没人看
672,好笑
673,刷上去也算啊
674,那我能成影帝
675,繕
676,姜文还参演过图兰朵
677,讲道理
678,制作组说广东人就像这样
679,我在广东呆一年也没看到一个这样的
680,吓不吓人啊
681,我觉得你是小白
682,那么老套的剧情还新意
683,有区别吗
684,还是广东
685,鐒
686,双标啥
687,不就是你们同一班人在搞的吗
688,眯眯眼是眯眯眼
689,吊梢眼是吊梢眼
690,这做眼保健操外刮眼眶的时候都碰不到鼻梁吧
691,广东不都黑人吗
692,漫画风格爱看不看
693,联想翩翩
694,太对了
695,有这种苗头就要压下去
696,淴
697,在现实中有谁的双眼间距超过一个眼睛的宽度的
698,畎
699,这动画电影的人物眼睛几乎一模一样
700,广东人风评被害
701,就是照着许三多建模也比这个舒服啊
702,这眼睛看着就像没睡醒的样子
703,赻
704,那京剧脸谱的大眼睛怎么办
705,豆瓣评分
706,就知道水军有多离谱了
707,凭啥欧美认为我们是这样
708,我们就要这样
709,这不是坎
710,反而这是自信
711,国民们已经放心大胆对欧美制定的印象说不
712,你欧美人懂锤子中国人
713,我现在信了
714,吴京爱国是生意
715,师母设计的多舒服
716,斜眼
717,心疼广东人
718,水军嘛
719,众所周知
720,广东人是这样的
721,内妈个嗨
722,广东靓仔长这样
723,去除网红化和滤镜化当然可以
724,但没必要丑化
725,呸恶心了
726,这不是陈漫的脸嘛
727,资本的力量
728,就是垃圾
729,刷票啦
730,广东人被黑的最惨的一次
731,早上好再来一次北伐
732,电影是我们买单
733,看看葫芦娃和魁拔的制作方
734,都是为爱发电
735,现在知道了
736,这电影就是不好看
737,是啊哇
738,京哥
739,是国人心中的坎吗
740,是欧美的亚裔侮辱
741,不要模糊根本
742,是国人造成的吗
743,是欧美的亚裔歧视
744,是国人心里脆弱的吗
745,是欧美的亚裔歧视
746,还是二鬼子了解洋鬼子
747,广东人不做点什么吗
748,这都指名道姓了呀
749,洋鬼子再想通过各种办法想恶心我们
750,呵呵
751,群众的眼睛是雪亮的
752,不爽就踏马给他怼回去
753,怼死他
754,战狼垃圾
755,就会爱国是吧
756,線
757,垃圾
758,胼
759,丹凤眼
760,杏眼那一双
761,狐狸眼你为啥偏偏选眯眯眼
762,怎么这么恶心啊
763,师傅长的不挺正常的
764,他们心里清楚的很
765,满人吴京
766,孖
767,满人无金
768,吴京
769,贱不贱啊
770,这些数据很难刷吗
771,你设计不能全一个样啊
772,老套的故事罢了
773,这摁给越南猴子都不认
774,吴京这会翻车了
775,以后别瞎帮宣传
776,去尼玛
777,凭什么我看个电影还得选择性忽略
778,卧槽
779,广东人长这样
780,除了毛发系统外看不出其他技术优点
781,这个建模
782,不会去看
783,既然被人当初
784,既然被当成秘密
785,既然外国的人眼睛都瞎就把他们打得醒
786,既然外国人喜欢装睡那么就把他们通通打醒
787,卧槽
788,救命啊
789,吴京也是烂片之王
790,只不过撘某类电影
791,那以后国漫就全员眯眯眼了
792,吴京要是被要挟了
793,请眨眨眼
794,洗的真好
795,数据刷的真好
796,铁拳
797,国内的评分儿你敢去相信
798,终极折磨
799,把
800,把大部分国人当傻子
801,我就形成应激反应了
802,我要感谢陈曼
803,顺便吐口痰
804,范
805,恐怖片都没这恐怖
806,阿猫阿狗是广东骂人的话
807,你觉得做主角名字合适
808,可是可是
809,广东人大多都是双眼皮
810,眼睛不小啊
811,这就不是做给国人看的电影
812,我爱雄狮少年
813,好电影
814,懗
815,真的好看
816,玄机气死了
817,广东人表示强烈反对
818,我认识的广东人里
819,就没一个眼睛这样的
820,广东人
821,我特么谢谢你啊
822,我就是广东人我都没见过这个我奶奶乡下四会那边都没见过
823,这电影主角应该是师娘才对
824,这是针对广东人咯
825,你要是个福建人
826,我马上吃了你
827,广东人骂骂咧咧走出电影院
828,国外夸你就说明你做错了
829,谁力挺都不行
830,邋遢大王了属于是
831,老鼠竟是我自己
832,先做好百分之九十的东西
833,再夹带百分之十的私货
834,这部电影就是这样
835,只是因为动画的制片是战狼
836,的
837,制片
838,这就是被水军们挑逗了去花电影票
839,太特么
840,高级
841,了
842,我小眼睛
843,但我不这样
844,求情提示
845,吴京参演的除了流浪地球都是好莱坞式的个人英雄主义大片
846,问题确实也不好看
847,吴京贱不贱
848,我他妈在广东待了
849,年
850,各个市区都去得差不多了
851,真没见过长成这种唐氏综合征的广东人
852,设
853,老子只是有点胖但是眼睛大着呢
854,流浪地球跟战狼都支持了
855,以后不会再支持了
856,看吧
857,汉奸
858,不看
859,不支持
860,电影好侃
861,眼间距
862,眼间距
863,离谱
864,恐怖片是吧
865,没觉得多接地气
866,情节也就那样
867,魳
868,同一个公司的
869,客套一下而已
870,客套一下而已
871,电影也稀烂
872,烂透了
873,我也不看
874,哈哈哈
875,哪咤才是好看
876,经典理中客了
877,眯眯眼不是问题
878,关键这动画中的眯眯眼是病态的
879,生意嘛
880,不寒掺
881,水军刷的口碑也能叫口碑
882,旎
883,实际上电影也不好看
884,练习十天不到拿到舞狮冠军
885,就离谱
886,电影没票房
887,还要花钱雇水军
888,这不亏死
889,真是一堆妖魔鬼怪
890,稿
891,那你解释解释唐代工笔画
892,簪花仕女图
893,呗
894,当年美国还没诞生
895,画师是通的哪个国
896,那叫不好看吗
897,就是丑
898,麻德
899,我身份证都比它好看多了
900,来自广东人的不屑
901,广
902,听说电影也不好看
903,自卑的人
904,就害怕有人在他身边窃窃私语
905,陈漫贱畜也
906,一个烂俗老港片套路
907,还他么新颖呢
908,这个小胡子也是眯眯眼但是我完全不会觉得不适
909,重点是诡异的宽眼距
910,那就不是正常人
911,还是要给资本一个面子
912,瘦脸没加瘦眼加了
913,雄狮唐式少年
914,主要是人物太丑
915,导致无法注意剧情吧
916,电影也不好看啊
917,陈漫对不起
918,配角的形象反而正常了
919,刷的也算
920,哪吒闹海
921,大闹天宫
922,传统了吧
923,人家形象设计也不这样
924,结局看不懂
925,剧情本来就有大问题
926,对呀
927,他岂不是给国内的这些二鬼子们开了一个头
928,不支持
929,魁拔都比这强
930,加两撇胡子
931,呵呵
932,二鬼子就是二鬼子
933,这玩意毁在人物角色上
934,这眼睛长得跟外国人一样
935,加深映像
936,使人不容易忘记
937,诛心之举
938,不要联想
939,屁的好电影
940,小学文案而已
941,说真的剧情很多地方其实挺离谱的
942,太刻意了
943,大杂烩电影罢了
944,对不起
945,这次我想说
946,我上我也行
947,原相机还是比这建模好看多点
948,一两个也就算了
949,主角团全这样
950,我可去
951,的
952,侜
953,电影只能算能看黑国人超黑
954,淙
955,放屁
956,就这剧情
957,自己不懂别在那乱叫
958,这电影的剧情实在不敢恭维
959,主你真的看了吗
960,难道所有中国人都应该要长大眼睛吗
961,这种对外貌的评价真的很无语
962,电影是垃圾烂片毋庸置疑
963,说好看的不会没看过电影吧
964,眯眯眼算事
965,孙红雷不好看
966,这还是瞳距的问题
967,吴京这货也叛变了
968,看过之后就更恶心了
969,唐氏少年
970,查查吧
971,没准有几个五十万
972,听说现在改口了
973,变成东北人了
974,广东人表示
975,你礼貌吗
976,它自己就是眯眯眼族的
977,吐了
978,可是电影确实也很难看啊
979,一个垃圾悬浮故事
980,癎
981,吴京还支持过上海堡垒
982,所以这个可以不用理会
983,癎
984,广东人不长这样
985,癎
986,广东人请你好好放低
987,癎
988,我斗破不服
989,虎
990,广东人还地域黑
991,脸
992,好
993,美漫崛起
994,不行
995,战狼和雄狮只能活下一个
996,快打起来
997,吃瓜
998,崛起是个持续性动作
999,新式水滴刑
1000,扑街啦
1001,雇水军刷口碑
1002,全是眯眯眼
1003,好些都是宽眼距不是故意
1004,旁边那个你说是猴子我都信
1005,奚
1006,就冲你这句广东人
1007,不把你头拧下来
1008,老子绝对不看
1009,直接震怒
1010,我以为战狼吴京会臭骂这电影
1011,可没想到
1012,利益相关罢了
1013,算了
1014,这个视频我当没看到
1015,吴京只不过是爱钱而已
1016,他拍战狼就是爱国了
1017,他只不过是看上爱国片这个大
1018,而已
1019,不然他也不会现在站出来发声
1020,毕竟钱给的太多了
1021,都是刷的分
1022,满眼的唐氏儿
1023,离谱
1024,卧槽
1025,猴子
1026,外国当然给你颁奖
1027,因为你把他们的定义戴在头上
1028,狗都不看
1029,剧情垃圾
1030,土著广东人里七八成大眼睛
1031,双眼皮
1032,笑死商业电影拿什么跟宫崎骏的比
1033,往死里夸的不是拿钱了就是脑子有问题
1034,去除滤镜化
1035,加上白人老爷的滤镜
1036,剧情好在哪
1037,不好看啊
1038,那你为啥不说说张苗作为制片人的那些电影呢
1039,感觉不行
1040,陈查理一家
1041,大家搜一下看看
1042,吴京盲目吗
1043,这是人脸
1044,还没孙悟空的脸好看
1045,男主的脸妥妥猴子脸
1046,一绝
1047,真特么丑
1048,还是凡人好看
1049,谁的眼睛后角是翘上去的
1050,誛
1051,一堆人吹国漫天花板
1052,我呸
1053,这个
1054,功力挺深厚了
1055,一开始都看不出屁股是歪的
1056,居然还吹剧情好
1057,懂了
1058,该洗剧情了
1059,新套路是吧
1060,吴京投钱了啊
1061,什么样的中国人才能得到美国人这么信任
1062,细品
1063,资本无所畏惧
1064,没看
1065,卖人情发的
1066,我丑再也不能怪我娘了
1067,陈漫这个都比刚才的图好看
1068,太恶心人
1069,广东人招谁惹谁了
1070,恶心人
1071,这就是人情客套转发
1072,吴京转发过的人情电影多了
1073,也没说好与不好
1074,黑你还要较好
1075,这是作践国人讨好国外审美的
1076,作品
1077,黑自己还要去叫好
1078,什么网友的脸
1079,那么代入
1080,雎
1081,网友乐意
1082,广东人不知道比你这些黑子好看多少倍
1083,那国漫就真的完了
1084,爱国是门生意
1085,大伙儿给贡献个一星吧
1086,广东人表示不服
1087,豆瓣评价不了低分
1088,第一反应像唐氏和阿凡达
1089,是大
1090,的
1091,评分
1092,高
1093,演员没有一个好东西
1094,屙
1095,确实没有审美自信了
1096,连自身标准的五官都嫌弃
1097,眼距这么大
1098,中国人都这德行
1099,广东人表示强烈遣责
1100,好恐怖啊
1101,熛
1102,广东人表示
1103,去你大爷
1104,剧情也拉胯
1105,它配
1106,害怕
1107,谁管咪咪眼啊
1108,眼距太宽
1109,眼尾上挑才是问题好吗
1110,菜
1111,唉
1112,明贬暗捧啊这是
1113,怀旧但是你不能让人不体面
1114,一只病猫而已
1115,不要重新定义好电影
1116,这电影只要有一点是垃圾那就是垃圾片
1117,只有师娘的眼睛正常
1118,丢你楼母
1119,电影听说是周星驰电影缝合怪
1120,练了几个月夺冠
1121,这能叫现实主义
1122,舞狮动嘴的细节处理真的是一绝
1123,可惜
1124,吴京准备作死了吗
1125,吴京很多人等着骂你呢
1126,你对的起挺你的人吗
1127,广东人告诉你
1128,根本不是这样
1129,吴老师
1130,你投资了吗
1131,不会吧
1132,广东人被黑的最惨的一次
1133,眯眯眼没问题
1134,但这种特殊眯眯眼不行
1135,这不是眯眯眼这是畸形
1136,现实中眯眯眼也有好看的
1137,国漫
1138,什么垃圾
1139,这他妈都没听过
1140,还国漫
1141,什么垃圾
1142,都来说国漫崛起
1143,还黑马
1144,牛马都不要
1145,都什么垃圾都来了
1146,还国漫崛起
1147,过你妈
1148,圎
1149,吴京感觉挺虚伪的
1150,一边说爱国中国人就应该怎么怎么样
1151,现在因为钱支持宣传雄狮少年
1152,别说什么不了解电影同行之间宣传一下
1153,就这封面眼瞎看不出来吗
1154,国外丑化中国人的特有印象
1155,反正我是死也不会看
1156,蜎
1157,吴京现在感觉挺虚伪的喜欢不起来了
1158,一边说爱国中国人就应该怎么怎么样
1159,现在因为钱支持宣传雄狮少年
1160,别说什么不了解电影同行之间宣传一下
1161,就这封面眼瞎看不出来吗
1162,国外丑化中国人的特有印象
1163,反正我是死也不会看
1164,被黑得太惨了
1165,批判这电影的人越多越好
1166,这个东西永远都不会成为标杆的想都不用想
1167,这
