序号,内容
625,这玩意儿还能过亿
626,哈哈哈哈
627,广东人不接受
628,哈哈哈哈哈哈
629,还是个陌生人
630,对
631,侮辱广东人
632,二刷才知道脏东西是什么
633,下象棋不
634,你上当了
635,票房低是雄狮少年里面不关注女性
636,没有女性舞狮队
637,不重视女性留守儿童
638,而且也没有体现中国的农村单亲家庭和素食主义者
639,剧透一下让我死心
640,王大陆
641,王大陆吗
642,唐氏少年
643,嫭
644,我也麻了
645,牛顿舞狮
646,结界
647,就不是给人看的
648,阴气重
649,可以是下象棋
650,诚哥三观正
651,这不就是低劣的仿周星驰吗
652,木棉花吧
653,多笋啊
654,放心没有
655,她不是要帮男主抢回被夺走的红包钱吗
656,男主很穷
657,男主喜欢舞狮的顶个瓜皮在那舞
658,被女主看到了吧
659,女主家里比较有钱
660,被拘束的那种感觉吧
661,三百阴兵看戏
662,那这女的是真的干
663,义彦好评
664,为了刷假票房造假数据
665,空气观影价格都三千多一张票了
666,多像我们的现实生活
667,都是没有办法了才干这个
668,绝大部分是水军
669,孎
670,根本不想看
671,你说吧
672,歎
673,走投无路的舞狮天才
674,譎
675,我是安揪
676,和抵制雄狮的连麦
677,各种嘲讽
678,我是安揪
679,与抵制雄狮直播连麦
680,诡辩嘲讽
681,恶心至极
682,我是安揪
683,连麦侮辱嘲讽抵制雄狮少年的人
684,我是安揪
685,连麦侮辱嘲讽抵制雄狮少年的人
686,因为排片率得占总排片百分之
687,只能放夜场了这个是虚假场次留坐的
688,不想叫人买
689,你被加强了
690,快上
691,不
692,既然都有毅力找一个退役的
693,那为什么不用这毅力央求正规舞狮队
694,避坑了
695,谢谢
696,哏儿都人讲话就是可乐
697,把我尬到了
698,唐筛少年
699,我是安揪
700,直播连麦侮辱嘲讽抵制雄狮少年的人
701,她爸是鬼脚七
702,导演说病猫变雄狮
703,什么味儿
704,东亚病夫
705,黄飞鸿
706,主创好贱
707,贪婪无厌
708,还想教育教育观众
709,冯小刚当初不行
710,你能行
711,谁都不行
712,这是最棒的中国动画
713,评论
714,为啥女权集体沉默了
715,这不对啊
716,垃圾电影
717,看着一帮水军硬吹去看的
718,还
719,天花板
720,国漫之光
721,屁
722,什么破玩意儿
723,劳资见一个洗地的骂一个
724,垃圾电影
725,看着一帮水军硬吹去看的
726,还
727,天花板
728,国漫之光
729,屁
730,什么破玩意儿
731,劳资见一个洗地的骂一个
732,董卿直呼内行
733,垃圾电影
734,看着一帮水军硬吹去看的
735,还
736,天花板
737,国漫之光
738,屁
739,什么破玩意儿
740,劳资见一个洗地的骂一个
741,一亿还是刷的
742,我是安揪
743,直播高强度辱骂嘲讽抵制雄狮少年的人
744,我是安揪
745,直播高强度辱骂嘲讽抵制雄狮少年的人
746,阴兵吧
747,我是安揪
748,直播连麦羞辱嘲讽不喜欢雄狮少年的水友
749,口音点赞
750,看过了
751,表示剧情不合理的地方太多了
752,真有钱
753,就算是搁零几年
754,这相当于送台手机出去了
755,有女狮的
756,尤其是佛山
757,那些成天吹的都去看
758,票房不至于这么点
759,唐氏少年
760,还有人说这眼睛是丹凤眼
761,丹凤眼什么样
762,大家去看看老三国的关羽就知道了
763,这离子烫
764,黑叔叔
765,没有
766,我感觉你这种尬黑的博主才是某些人请来的水军吧
767,就是希望中国动画电影死透了
768,其心可诛啊
769,那个我是安揪自己长得都像
770,不怪她吹这片子
771,看完压抑死
772,那就只是眼睛的问题嘛
773,剧透吧
774,没事
775,哈哈哈
776,这就是广州吗
777,你格局小了
778,已经坐满了鬼魂
779,中国式爹妈
780,抛开
781,不谈
782,就最胖的还顺眼一点
783,确实
784,不行
785,我妈要看我故意这样直接上去给我一个大耳光子
786,好家伙我笑我自己
787,脸都不要了
788,绿
789,动画里的正规舞狮队全是流
790,混
791,黑社
792,会呢
793,工具狮
794,是的
795,从业两年
796,不就是木棉花嘛
797,广州市花
798,满大街都是
799,正常人第一印象就是不想看
800,阴兵借票
801,现实写实
802,一定要什么女主吗
803,以自辱的方式去迎合外国人
804,那也是不要脸到家了
805,这里说的是女主流氓
806,没有谈男主
807,尬黑个毛
808,本来就不合理
809,名字相同就舞狮
810,搞笑不搞笑
811,反正就是不咋尊重舞狮
812,这是想表达什么价值观
813,无语了
814,宎
815,舞狮不能速成
816,殎
817,没感觉到多热爱
818,只是不想被看不起
819,殎
820,为了亮眼
821,箎
822,没有
823,不想看
824,讎
825,可以是下象棋
826,讎
827,不想看
828,鮎
829,这是制造性别对立其心可诛
830,这破电影我还怕你剧透啊
831,不是
832,一部影视作品连让人想看的欲望都没有
833,还是我观众的错了
834,主你要是在小红书上这么说
835,会被喷死的
836,说你不自信
837,我去
838,这么多鬼
839,哈哈哈哈哈哈
840,牛顿笑了
841,就是
842,剧情确实有点硬伤
843,不是有人在欺凌男主
844,女主过去教训他们吗
845,哈哈哈哈哈哈哈
846,我刚看了个广东大学生女子舞狮的比赛视频
847,哈哈哈
848,觉得别人尬黑的巨婴倒是自己发个视频教我们怎么吹呗
849,哈哈哈哈哈哈哈
850,这波叫直接扬了
851,坐地铁就可以
852,哙
853,木棉话是有别名叫英雄花
854,嚨
855,后边这锦旗
856,假的吧
857,同感
858,被人物形象劝退
859,典型的美国故事
860,大家黄飞鸿看起来
861,上当了不是
862,童工吗
863,晴子
864,你想舞狮吗
865,哈哈哈哈哈
866,我绝不会去
867,工具人
868,女权给我出来
869,偷票房
870,哈哈还有对象
871,可以是下象棋
872,确实
873,都是人
874,全是阴兵在看
875,宁可真大胆啊
876,最后一期
877,中文版残酷天使
878,但凡是现实
879,这个女主可能就进去了
880,什么石中剑剧情
881,有铺垫啊
882,反复放男主一家看舞狮时那个全家福照片这是被强行忽视了
883,舞狮在男主心中的地位了么
884,男主从头到尾都一直认为舞狮是全家团圆的预兆象征的感觉吧
885,这不是爆满了吗
886,滑稽
887,确实都满了
888,一亿还是阴兵刷的
889,这段就离谱
890,还说阿猫就是看上了女主才去舞狮
891,这唐氏女主重新定义
892,美女
893,蝯
894,二刷仔包场
895,爽歪歪
896,好奇害死猫
897,神立定跳远
898,哈哈哈哈哈哈哈哈哈哈哈哈
899,评论好的人都去看一遍也不至于这个票房
900,那这应该去学相声啊
901,雄尸少年
902,说句实话你们看过舞狮只有一个人舞狮头没有狮尾的吗
903,说佛山去广州要坐火车去笑死
904,啊当时已经有大巴来回了
905,你以为黄飞雄时代啊
906,在现实说真的你们看见过舞狮没有狮尾的吗
907,看以后再做评价
908,然后再出视频
909,所以这可以算是工伤吗
910,完全不想
911,丧良的诚哥
912,这是刘老六附体了吧
913,对
914,没错
915,我觉得就很离谱
916,怎么赢的过程都没有
917,花钱了呗
918,这些吹的但凡带点脑子
919,要不就是拿钱做事刻意抹黑
