序号,内容
464,支持
465,我觉得还行
466,哪吒
467,我命由我不由天
468,支持
469,说的没错
470,支持
471,我觉得挺好看的啊
472,崛起
473,一把子支持了
474,每部国漫出来都要先喊一通
475,是啊主角不要好看的
476,那大家也放过金瀚吧
477,哈哈哈
478,打半分都高
479,我觉得非常好看
480,我觉得很好看
481,我觉得弘扬传统文化
482,很好看
483,终于有人说真话了
484,话说
485,是阿川和七月小号么
486,犎
487,分
488,抎
489,哪吒
490,好吗
491,没分
492,广东人
493,我就没见过长这样的
494,哈哈哈哈哈哈哈哈
495,我来告诉你为什么
496,因为他们都是留守儿童
497,生活也不容易
498,还被别人欺负
499,他们是被欺凌的对象
500,这个形象很切合实际
501,剧情很真实啊
502,我笑啦
503,哪吒不靠鸡汤
504,广东朋友都说宽眼距不像人类
505,后边男主经过城市的磨炼之后形象变得很阳刚
506,很坚毅
507,跟鸡汤有仇了属于是
508,好家伙
509,这弹幕
510,太棒了
511,我们广东人就是长这样
512,哪咤也一般啊
513,我觉得好看
514,这是肯定买水军压流量了
515,有句说句确实比哪吒好看
516,超好看的
517,我也觉得好看
518,异类
519,看完了
520,觉得很好看啊
521,个人认为很好看
522,本来盯着眼睛问题
523,结果看着电影都忽略了
524,我觉得很好看啊
525,这就是普通人
526,不是所有人都是美女靓仔
527,明明很好看
528,并不
529,看到这里我觉得很热血
530,人总是需要这些东西的
531,大声的念出李白的那些诗更让我体会到这些诗句的意义
532,非常感同身受
533,尬的我睁不开眼
534,确实比哪吒好看很多啊
535,结尾还是好看的
536,回归现实了
537,前面确实很拉
538,哪吒也一般般
539,负分
540,纯真热血
541,感觉到这语气满满的恶意
542,本片是值得看的
543,有钱大家一起赚
544,我是广东人
545,个人觉得画风还好
546,没有被冒犯到
547,年度最佳
548,这部电影真得很棒
549,我完全又被震撼到的感觉
550,九连真人的歌燃到我了
551,哪吒其实也一般
552,对不起
553,我觉得很好看
554,准备二刷
555,你真的写不出来脚本了吗
556,一段话你要说好多遍来凑时长
557,嗆
558,哪吒就没啥预期
559,罗小黑
560,我觉得超级好看
561,我觉得很好看
562,真是太帅了
563,你讲的真是太棒了
564,哎呀你说的太对了
565,直接三连
566,腎
567,更喜欢这部
568,抱歉
569,我妹看完觉得精广了
570,我觉得就是比魔童哪吒好看啊
571,真正这个世界上好看的人有多少呢
572,还好我不是广东人
573,能打
574,分么
575,这弹幕
576,票房看看吧
577,哪吒在我心里都排不上号
578,直接没预期了
579,前面两个自称广东人眯眯眼很自豪的
580,大作家笔下的人物也有长得其貌不扬的啊
581,难道这个世界上没有长得普通的人吗
582,超级好看
583,非常好看
584,分
585,人家快九百好吗
586,是
587,必须是唐氏综合征才行
588,唐氏少年
589,关注了
590,总有人想代表所有人
591,谢谢你
592,我觉得很好看
593,总之这部没有短板
594,可以看
595,都是小眼睛
596,不能说你说的有错
597,但是今天谁来了我也说这部电影就是好看
598,你倒具体说说呀
599,看完我真的后悔
600,太国际化啦
601,不对应该是火星化
602,哈哈哈
603,取景地在佛山
604,主角佛山人
605,作为广东人
606,真的感觉导演跟广东人有仇
607,北方人看完给广东仔竖大姆哥
608,比哪吒好看
609,嚯你可别替我
610,我旁边的人都挺认真的
611,刚看完我是真的觉得很好
612,超好看
613,看完来表示
614,真的值得看
615,值得看
616,真话
617,我觉得好看
618,分至少了
619,鼓励给了五星
620,致敬星爷的啊
621,对不起
622,对于
623,来广东的我来说
624,广东人就是这个样子
625,我觉得好看
626,别听他的
627,很好看
628,看完彩蛋你或许会明白
629,上海堡垒模式
630,男主是个入懦弱的留守儿童
631,他的成长是需要一点点推进的
632,前半段挺拉的
633,但是后面挺好的
634,有几个镜头很打动人
635,个人觉得不算烂片
636,话说哪吒才是迪士尼风格吧
637,大眼睛高鼻梁
638,耎
639,草
640,我觉得哪吒才是靠口号狂吼才燃起来的那种电影
641,耎
642,后面平头很好看啊
643,就你那场最特别
644,我们那场满座
645,笑得可开心了
646,不用你替
647,广东人觉得很好看
648,我觉得很不俗套很燃
649,主观感受不等于就是事实
650,我们电影没有见到玩手机啊
651,美型常见
652,而这种不常见啊
653,我觉得好看着呢
654,尤其是后半部分
655,你就适合看爆米花电影
656,分
657,异
658,类
659,真
660,话
661,很好看
662,现在但凡出个国产动画电影
663,都有人喊国漫崛起
664,哪里鸡汤啊草
665,全是陈漫粉丝是吧
666,我和
667,光看预告就毫无兴趣了
668,啊对对对
669,就是好好看
670,人物外形刻画
671,和人物刻画不一样好吗
672,我也觉得不错
673,我觉得哪吒的剧情也一般吧
674,除了画面毫无可取之处
675,负分数都高估了
676,国漫早就崛起了
677,票房最能直观反应问题的
678,这个电影宣传投入这么大
679,如果票房还是不尽人意的话
680,那肯定就是烂片无疑了
681,动画场景可以
682,剧情的话就别指望了
683,我觉很好
684,今天看完
685,想二刷了
686,竟然还有别的观众
687,哪吒的剧情也很老套
688,我也不觉得有多燃
689,已经三连了
690,我也觉得很好看
691,可能审美差距吧
692,这种是有点向周氏喜剧致敬的意思
693,但是确实没处理好
694,我觉得很丝滑
695,配
696,它配
697,广东的朋友很喜欢
698,我也觉得好看
699,看到大部分没被带偏我就放心了
700,唐氏综合征了解下
701,明明很好看
702,耽误了我两分多钟
703,分
704,我都
705,刷啦
706,我觉得挺不错的
707,唐氏综合征
708,就画面动作已经完胜了
709,真不知在喷什么
710,真好看
711,好啦
712,好啦
713,就你最清醒
714,我觉得很好看
715,就很好看啊
716,比哪吒好看
717,前面有点尬
718,但后半段真的好看
719,值
720,年代感
721,最佳
722,燃爆
723,好看
724,故事转折确实快了点
725,但不可否依旧是好作品
726,我觉得挺好看
727,虽然前面有点平但是
728,后半段确实很出彩
729,当时哪吒出来的时候你也说不好看
730,哪吒比不上雄狮
731,暴力推荐
732,很好看
733,我觉得很好看
734,广东人都长这样哈哈哈
735,哈
736,很好看啊
737,强行真理
738,强行真话
739,我命由我不由天谁喊的
740,哈哈
741,像我们这样想挣流量的人一定会有人狂喷
742,电影不错啊
743,很值得
744,比那个哪吒要强很多好吧
745,不是
746,你要讲道理
747,而不只是情绪输出
748,你说哪吒很好很优秀
749,你完了真的
750,首先
751,它不是鸡汤而是心里话
752,批
753,大家都看得很投入
754,那就是你预期太高
755,很难不赞同
756,他根本配不上网上那么好的口碑
757,我觉得超级好看
758,像我这样敢说真话的异类
759,动画片而已
760,又不是真实的
761,崛起说不上
762,不过作为动画片是合格的
763,虽然现实中不可能发生
764,但是没关系
765,我打
766,分
767,明明很好
768,我觉得好看的啊
769,我觉得比哪吒好
770,小朋友们哈哈笑
771,大人们都哭唧唧
772,没有走神的
773,小朋友都看得很专心
774,好看
775,真的好看
776,真实感人热血
777,哭得稀里哗啦
778,我好喜欢
779,真的好看
780,大家一定要去看
781,我觉得国漫顶峰
782,曾经西方人把小眼睛赋予了太多类似于阴邪的负面评价
783,今天我们的电影人重新将这些外貌特征和坚韧执着连接起来
784,我不明白何辱之有
785,很喜欢
786,想三刷
787,分明是今年最佳国产动画电影
788,我觉得很好看
789,我觉得超级好看
790,我觉得好看啊
791,广东本人觉得画的很好呀
792,背景总是让我很想念故乡
793,因为我在外省
794,生活很难
795,我觉得很好看么
796,而且我们看完了都在等彩蛋
797,我觉得年度最佳
798,你懂动画吗
799,东西好不好在每个人内心
800,哪吒很好
801,为喷而喷吗
802,我觉得真心好看
803,哈
804,我那里有个小孩每次都笑
805,哈哈哈哈哈谁会标榜自己是敢于说真话的异类
806,哈哈哈哈哈只能说
807,你还没被毒打过
808,雄狮少年是一部很有力量的片子
809,人生需要鸡汤
810,我觉得哪吒的故事不过完整
811,感觉一般
812,就特效不错
813,它不配和哪吒罗小黑放在一起比
814,还有一点狮子头做得精细可爱其他夸不出口
815,我看过后感觉很好看
816,我觉得挺好看
817,我看了我觉得好看
818,我看的很认真
819,挺好看的
820,对不起我四十了还觉得好看
821,拉满肯定会失望
822,我没期待觉得挺好
823,你代入不了
824,只能说你是幸运的人
825,我怀疑
826,根本没看原片
827,我是真觉得剧情太套路了
828,很多人物设计扁平
829,什么时候自信都体现在眼睛上了
830,个人觉得还不错
831,很好看阿
832,分
833,我觉得很好看
834,值得一看
835,广东人表示里面的场景十分亲切
836,并没有
837,说的那么差
838,我明白大家不喜欢所谓的
839,高级脸
840,所以不允许任何画师有自己的审美了
841,必须是你们的大眼美女吗
842,别听这个人说的
843,十分好看
844,刚看完
845,特别喜欢
846,哈哈哈
847,分
848,留点面子给它
849,真的做的很不错
850,就配的很好
851,里面各种狮子的服装也做的相当精细
852,什么都不看就追着个小眼睛喷到死
853,现在的网友是真的无脑啊
854,我本来是不想说什么了
855,但是你说哪吒和罗小黑
856,我无语了
857,就这种税水平还有预期可言
858,超级好看
859,原来不好看的人有了精彩的故事和人生
860,展现在大众面前的时候
861,只会被揪住外貌骂丑
862,我觉得剧情
863,画面
864,音乐都很不错
865,不知道你想看啥
866,还可以吧
867,制作确实不错
868,场景渲染真好看
869,可是剧情
870,中国很多动画的弊病
871,每次都觉得白瞎了那么好的场景渲染
872,还有眯眯眼
873,实锤超越哪吒
874,很难不同意
875,挺开心的
876,挺好看的
877,好看
878,电影我觉得挺好的
879,哪里赚钱
880,带我一起啊
881,我超级喜欢
882,很好看
883,超越哪吒好吧
884,很好看啊
885,说的很对
886,很好看
887,这电影不是鸡汤
888,主角赢了比赛后仍旧是打工
889,很广东人啊
890,我就觉得很好看
891,很好看
892,动漫不喊点中二口号
893,怎么算动漫
894,讲道理
895,我只看了前
896,分钟
897,感觉不错
898,其实这种动漫也有很圆的不对
899,而是这种电影也有很圆的时候
900,就只是被我们忽略了而已
901,加上一些音乐它就可以变成那样了
902,我觉得很好看
903,只需要表达态度就行了
904,我觉得很好看
905,喊口号怎么了
906,李白当时不也是这么喊出来的
907,你比李白强
908,是不是
909,敢于说出真相
