序号,内容
560,雄狮少年豆瓣居然有
561,这个人是不是半佛老师呀
562,精神变态
563,有些人配被称为搞文艺么
564,若要佛法兴
565,唯有僧赞僧
566,那你转行吧
567,让我喜欢的风格来
568,璌
569,食得鹹
570,鱼抵得渴
571,也许甲方要的就是这样的效果
572,可以啊
573,好开
574,建议尽快转行
575,能觉得丑但是不能扣帽子啊
576,你们不觉得
577,艺术
578,听起来就很赚不到钱吗
579,找个厂把
580,导演也脱不了干系
581,就是冲着讨外国人欢心拿国际奖项去的
582,广东人听完表示笑死
583,华纳
584,呦西
585,雄狮少年导演不行啊
586,没有给你打钱啊
587,主角长的丑
588,就该挨骂吗
589,没有正直敏感度又不承担它相应的责任
590,所以这部电影么
591,仔细分析
592,其实雄狮少年的剧情设计和人物塑造都有硬伤
593,为了讨外国爹的欢心
594,我也是这样想的
595,这么多前车之鉴还踩雷
596,活该票房少
597,连喷俩电影的
598,你是第一个
599,前面那个说没有兵马俑看的
600,半夜满场的神作说不定真有兵马俑看呢
601,主创傲慢的很
602,活该他们赔钱
603,一直这样啊
604,是的
605,哈哈哈哈哈
606,是的
607,有道理啊
608,好开
609,这次一定
610,你好
611,李焕英
612,哈哈哈哈哈哈
613,哈哈哈哈
614,好开
615,美国末日
616,给
617,刷票
618,这里真想艾特那些天天说观众审美和内涵的导演们
619,活该
620,笑死
621,张苗在索尼做了
622,年总监
623,它不懂就有鬼了
624,就是故意的
625,广州人表示哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝
626,让子弹飞
627,对对对
628,本美术生也很疑惑他们完全不打算接地气的吗
629,大众的艺术不是艺术了
630,不善言辞
631,雄狮少年编导子嗣必基因变异
632,我住在
633,站
634,每日牛老师
635,对
636,想玩还玩不起就别玩
637,你不容易是你的事
638,你不容易凭什么让我掏钱
639,他只是想讨好他的外国老爹
640,你看刚上映国外就过奖了
641,什么
642,策划
643,没错
644,好开
645,美末
646,直呼内行
647,导演说他来广东考察
648,但我们广东人什么时候长那样了
649,精
650,神
651,变
652,态
653,你可以当狮子
654,对
655,这是职业道德和商业道德问题
656,开幕雷击
657,人家的艺术表达不是给我们看的
658,这片子是拍给外国人看的
659,还没想明白吗
660,还是吃得太饱了
661,胖虎
662,我的学历不配进入电子厂
663,就是很懵逼
664,哪怕剧情一般
665,他就能在国内搞到不错的票房
666,非要整这个鬼形象
667,人一世物一世猪乸都要砌一砌
668,搞那些的人怎么可能愿意拧螺丝
669,好短
670,拍给外国人看的就别说国漫已死
671,反正你的受众也不在国内
672,别说了
673,我西安的朋友封城了电影院雄狮少年还是满座
674,转行的赶紧转吧
675,你们什么时候才明白观众才是金主又不会给你当儿子的
676,怎么只能投两个币
677,好喷
678,商业就是讲投资回报风险
679,别给我整艺术
680,其实第一感觉就是迎合西方
681,想去参赛
682,那老婆怎么看货拉拉二审维持原判
683,哈哈哈哈哈哈哈哈哈哈哈哈
684,精
685,神
686,变
687,态
688,哈哈哈哈
689,说得好
690,是啊
691,其他动画最多说难看啥的
692,这个直接外形就有问题
693,因为看到了
694,所以不去看了
695,就宽容得离谱
696,下次一定
697,午夜场
698,三千块
699,满座
700,说到现在
701,也没说啥重点
702,属实没错
703,甲方的钱不坑
704,难道坑消费者的
705,我坑得到
706,不要乱喷
707,人物设定没问题
708,剧本都辣鸡得不行
709,不知道他们在吹什么
710,确实
711,角色设计漂亮
712,这动画无敌了
713,警惕
714,多元
715,俩字
716,因为大陆一般都是说
717,多样化
718,的
719,跟人设计没关系
720,人家设计给的美型画稿都给人家否了
721,那就想一想你们班里的学霸有几个是搞艺术的
722,好开
